epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.796534,1.49616,3.43115,1.43871,0.03111,0.57534,0.02548,0.01158,1.16993,3.01834,1.12129,2e-05,2e-05,2e-05
2,1.06644,1.56472,3.40597,1.50847,0.03185,0.58904,0.02585,0.01231,1.21069,3.02165,1.14377,5.8812e-05,5.8812e-05,5.8812e-05
3,1.31908,1.48313,3.34043,1.43924,0.04778,0.88356,0.11353,0.06675,0.70445,2.90975,0.87087,9.604e-05,9.604e-05,9.604e-05
4,1.61883,0.9402,3.00296,1.08422,0.05407,1,0.53131,0.36684,0.47243,2.71684,0.7868,0.000131684,0.000131684,0.000131684
5,1.92383,0.64225,2.54405,0.91386,0.05407,1,0.86376,0.62215,0.69683,2.51697,0.80779,0.000165744,0.000165744,0.000165744
6,2.21949,0.63608,2.14346,0.87729,0.05407,1,0.93737,0.75491,0.65515,2.25656,0.8056,0.00019822,0.00019822,0.00019822
7,2.5842,0.55962,1.48926,0.83835,0.94116,0.87649,0.96389,0.77122,0.72932,1.84726,0.80523,0.000229112,0.000229112,0.000229112
8,2.88039,0.58563,1.19559,0.85217,0.90657,0.89726,0.97077,0.72645,0.85553,1.2904,0.81515,0.00025842,0.00025842,0.00025842
9,3.16187,0.55764,0.87347,0.84917,0.91155,0.89726,0.9606,0.75037,0.80078,1.058,0.8112,0.000286144,0.000286144,0.000286144
10,3.44546,0.57122,0.9183,0.86219,0.93021,0.91096,0.97808,0.81046,0.69339,0.90793,0.79696,0.000312284,0.000312284,0.000312284
11,3.73902,0.48502,0.78797,0.8332,0.9028,0.94521,0.9779,0.82575,0.62791,0.85831,0.78829,0.00033684,0.00033684,0.00033684
12,4.02293,0.55639,0.80227,0.84469,0.94043,0.94521,0.97993,0.85461,0.57572,0.84408,0.78665,0.000359812,0.000359812,0.000359812
13,4.30906,0.49651,0.69145,0.83857,0.96556,0.9601,0.98334,0.82139,0.63862,0.9357,0.78917,0.0003812,0.0003812,0.0003812
14,4.59594,0.52914,0.77251,0.85909,0.95255,0.9589,0.98762,0.81896,0.64048,0.99862,0.78507,0.000401004,0.000401004,0.000401004
15,4.87732,0.49743,0.6603,0.85357,0.9635,0.9726,0.98919,0.82101,0.61731,0.99205,0.77832,0.000419224,0.000419224,0.000419224
16,5.15873,0.50383,0.67551,0.86738,0.96958,0.97945,0.99218,0.80968,0.60187,0.89885,0.77396,0.00043586,0.00043586,0.00043586
17,5.44457,0.50125,0.68138,0.83316,0.96611,0.97636,0.99274,0.8136,0.60338,0.80631,0.77512,0.000450912,0.000450912,0.000450912
18,5.72557,0.49352,0.66539,0.86437,0.96993,0.9726,0.99267,0.82162,0.58696,0.74544,0.77487,0.00046438,0.00046438,0.00046438
19,6.00357,0.50198,0.6615,0.85092,0.96367,0.9726,0.99202,0.83761,0.5912,0.69687,0.77739,0.000476264,0.000476264,0.000476264
20,6.2877,0.48469,0.61627,0.8489,0.99139,0.96575,0.99322,0.83865,0.58867,0.68404,0.7782,0.000486564,0.000486564,0.000486564
21,6.57544,0.44932,0.5848,0.83369,0.99303,0.97532,0.99453,0.83745,0.57156,0.68361,0.77765,0.00049528,0.00049528,0.00049528
22,6.855,0.47545,0.60116,0.83136,0.99651,0.99315,0.995,0.84773,0.54891,0.67885,0.77625,0.000502412,0.000502412,0.000502412
23,7.13806,0.47694,0.57988,0.83402,0.99687,1,0.995,0.84805,0.5553,0.69676,0.77593,0.00050796,0.00050796,0.00050796
24,7.4252,0.47298,0.57081,0.85004,0.99975,1,0.995,0.84909,0.5295,0.69338,0.77378,0.000511924,0.000511924,0.000511924
25,7.7128,0.46711,0.55431,0.81968,0.99771,1,0.995,0.86147,0.50715,0.6989,0.77034,0.000514304,0.000514304,0.000514304
26,7.99375,0.46034,0.54001,0.83477,0.99834,1,0.995,0.86137,0.48002,0.67909,0.76252,0.0005151,0.0005151,0.0005151
27,8.34835,0.4715,0.5567,0.82649,0.9975,1,0.995,0.89057,0.45678,0.64625,0.7616,0.000514312,0.000514312,0.000514312
28,8.63218,0.43646,0.57408,0.82924,0.9975,1,0.995,0.89057,0.45678,0.64625,0.7616,0.00051194,0.00051194,0.00051194
29,8.91667,0.44005,0.53288,0.82813,0.99907,1,0.995,0.88779,0.46053,0.63081,0.76428,0.000507984,0.000507984,0.000507984
30,9.21301,0.42301,0.52811,0.81058,0.99668,1,0.995,0.89224,0.43931,0.63155,0.76054,0.000502444,0.000502444,0.000502444
31,9.49177,0.42621,0.4895,0.83106,0.99668,1,0.995,0.89224,0.43931,0.63155,0.76054,0.00049532,0.00049532,0.00049532
32,9.78077,0.44848,0.53337,0.82354,0.99736,1,0.995,0.87285,0.48621,0.63993,0.76442,0.000486612,0.000486612,0.000486612
33,10.0598,0.44858,0.51878,0.82546,0.98652,1,0.995,0.88401,0.45538,0.6345,0.76009,0.00047632,0.00047632,0.00047632
34,10.333,0.42148,0.47657,0.81323,0.98652,1,0.995,0.88401,0.45538,0.6345,0.76009,0.000464444,0.000464444,0.000464444
35,10.6204,0.41155,0.48325,0.82965,0.97935,1,0.99486,0.91719,0.41431,0.6217,0.75645,0.000450984,0.000450984,0.000450984
36,10.9036,0.41902,0.50093,0.8322,0.98502,1,0.99486,0.92336,0.40307,0.6088,0.75428,0.00043594,0.00043594,0.00043594
37,11.1792,0.41392,0.49141,0.82088,0.98502,1,0.99486,0.92336,0.40307,0.6088,0.75428,0.000419312,0.000419312,0.000419312
38,11.4664,0.41309,0.46022,0.81804,0.99565,0.99315,0.995,0.92944,0.39436,0.59422,0.75389,0.0004011,0.0004011,0.0004011
